[INFO] 2025-10-16 18:23:59,031 activity 2025-10-16T15:23:59.031141+00:00 method=GET path='/en/control/analytics/' status=200 ms=23 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:24:04,787 activity 2025-10-16T15:24:04.787880+00:00 method=POST path='/en/control/analytics/' status=302 ms=173 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:24:04,982 activity 2025-10-16T15:24:04.982532+00:00 method=GET path='/en/control/analytics/' status=200 ms=21 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:24:20,488 activity 2025-10-16T15:24:20.488856+00:00 method=POST path='/en/control/analytics/' status=302 ms=14 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:24:20,819 activity 2025-10-16T15:24:20.819039+00:00 method=GET path='/en/control/analytics/' status=200 ms=19 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:37:01,465 activity 2025-10-16T15:37:01.465740+00:00 method=GET path='/en/control/dashboard/' status=200 ms=165 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:37:14,057 activity 2025-10-16T15:37:14.057837+00:00 method=GET path='/en/control/dashboard/?period=7' status=200 ms=91 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:37:44,193 activity 2025-10-16T15:37:44.193810+00:00 method=GET path='/en/control/analytics/' status=200 ms=87 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:38:30,701 activity 2025-10-16T15:38:30.701133+00:00 method=POST path='/en/control/analytics/' status=302 ms=15 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:38:31,090 activity 2025-10-16T15:38:31.090740+00:00 method=GET path='/en/control/analytics/' status=200 ms=37 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
[INFO] 2025-10-16 18:38:45,404 activity 2025-10-16T15:38:45.404932+00:00 method=POST path='/en/control/analytics/' status=302 ms=7 ip=172.16.130.170 user_id=None user='None' ua='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36'
